searchName;relationNumber;nameLine1;nameLine2;nameLine3;addressLine1;addressLine2;addressLine3;postalCode;city;countryCode;subentityCode;postOfficeBox;postOfficeBoxPostalcode;postOfficeBoxCity;postOfficeBoxCountry;telephoneNumber;telefaxNumber;emailAddress;internetAddress;contactPerson;typeOfRelation;currencyCode;vatCode;languageCode;relationGroup;paymentTerm;creditLimit;vatNumberOrg;vatNumber
NOARVALASOSLO0001;10036919925;Arval As;-;;Postboks 4748 Nydalen  ;;;0421;Oslo;NO;;;;;;;;;;;1;;0;;1;;;919117109;NO919117109
NOAPEXREGNSSLEPE0001;10036945425;Apex Regnskap As;-;;Postboks 147  ;;;1312;Slependen;NO;;;;;;;;;;;1;;0;;1;;;918484728;NO918484728
NOANTALISASOSLO0001;10036954187;Antalis As;Avd Gregersen;;Postboks 79 Furuset  ;;;1001;Oslo;NO;;;;;;;;;;;1;;0;;1;;;910429000;NO910429000
NO149AGENCIHEMSE0001;10036975984;149 Agencies As;-;;Postboks 31  ;;;3561;Hemsedal;NO;;;;;;;;;;;1;;0;;1;;;992009276;NO992009276
NOALTAAUTOSALTA0001;10036991619;Alta Autoservice As;-;;Industrihøyden 20 ;;;9513;Alta;NO;;;;;;;;;;;1;;0;;1;;;918752838;NO918752838
NOALFSENOGGOSLO0001;10036993904;Alfsen og Gunderson AS;-;;Postboks 6052 Etterstad  ;;;0601;Oslo;NO;;;;;;;;;;;1;;0;;1;;;967858587;NO967858587
NOASKIMDENTASKIM0001;10037010872;Askim Dental As;-;;Postboks 608 Torget;;;1833;ASKIM;NO;;;;;;;;;;;1;;0;;1;;;917446350;NO917446350
NOATLASCOPCLANGH0001;10037092854;Atlas Copco Power Technique Nordic;-;;Berghagan 7 ;;;1405;Langhus;NO;;;;;;;;;;;1;;0;;1;;;919560037;NO919560037
NOAASETHDAGVAGA0001;10037094314;Aaseth Dagligvare As;Pib Extra Vestad;;Edvard Storms Veg 4 ;;;2680;Vågå;NO;;;;;;;;;;;1;;0;;1;;;820034112;NO820034112
NOAOFOSTFOLFREDR0001;10037115275;Aof Østfold;Avd Sarpsborg;;Postboks 124  ;;;1601;Fredrikstad;NO;;;;;;;;;;;1;;0;;1;;;971129573;NO971129573
NOABORAASMANST0001;10037151668;Abora As;-;;Postboks 59   ;;;1625;Manstad;NO;;;;;;;;;;;1;;0;;1;;;989683284;NO989683284
